
Track
Longitude , Offset    , Lanes     
0.00      , 1.00      , 2.00      
25.00     , 1.00      , 2.00      
50.00     , 1.00      , 2.00      
75.00     , 1.00      , 2.00      
100.00    , 1.00      , 2.00      
125.00    , 0.00      , 3.00      
150.00    , 0.00      , 3.00      
175.00    , 0.00      , 3.00      
200.00    , 0.00      , 3.00      
225.00    , 0.00      , 3.00      
250.00    , 0.00      , 3.00      
275.00    , 0.00      , 3.00      
300.00    , 1.00      , 3.00      
325.00    , 1.00      , 3.00      
350.00    , 1.00      , 3.00      
375.00    , 1.00      , 3.00      
400.00    , 1.00      , 3.00      
425.00    , 1.00      , 4.00      
450.00    , 1.00      , 4.00      
475.00    , 1.00      , 4.00      
500.00    , 1.00      , 4.00      
525.00    , 1.00      , 4.00      
550.00    , 1.00      , 4.00      
575.00    , 1.00      , 4.00      
600.00    , 1.00      , 4.00      
625.00    , 1.00      , 3.00      
650.00    , 1.00      , 3.00      
675.00    , 1.00      , 3.00      
700.00    , 1.00      , 3.00      
725.00    , 1.00      , 3.00      
-----

Trajectory: Ego
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , 0.00   , 7.00   , 0.00   , 20.09  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , 50.23  , 7.00   , 0.00   , 20.09  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 100.47 , 7.00   , 0.00   , 20.09  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 150.70 , 7.00   , 0.00   , 20.09  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 200.93 , 7.00   , 0.00   , 20.09  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 251.17 , 7.00   , 0.00   , 20.09  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 294.46 , 7.00   , 0.00   , 17.32  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 330.80 , 7.00   , 0.00   , 14.54  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
20.00  , 367.14 , 7.00   , 0.00   , 14.54  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 403.49 , 7.00   , 0.00   , 14.54  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 439.83 , 7.00   , 0.00   , 14.54  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 476.18 , 7.00   , 0.00   , 14.54  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 512.52 , 7.00   , 0.00   , 14.54  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 548.87 , 7.00   , 0.00   , 14.54  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 585.21 , 7.00   , 0.00   , 14.54  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 621.55 , 7.00   , 0.00   , 14.54  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
40.00  , 657.90 , 7.00   , 0.00   , 14.54  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
42.50  , 694.24 , 7.00   , 0.00   , 14.54  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
45.00  , 730.59 , 7.00   , 0.00   , 14.54  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
47.50  , 766.93 , 7.00   , 0.00   , 14.54  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----

Trajectory: Traffic_1
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , 35.23  , 7.00   , 0.00   , 12.83  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , 67.32  , 7.00   , 0.00   , 12.83  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 99.41  , 7.00   , 0.00   , 12.83  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 138.44 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 177.47 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 216.50 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 255.53 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 294.56 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
